Age,Education Level,Job Title,Years of Experience,Salary,Gender
29.0,1,2,1.5,350.0,1
37.0,1,3,10.0,120000.0,0
31.0,1,5,3.0,50000.0,0
42.0,1,5,12.0,110000.0,1
29.0,1,16,1.5,40000.0,0
36.0,1,3,8.0,95000.0,1
44.0,2,1,15.0,140000.0,0
33.0,1,3,4.0,60000.0,1
39.0,1,3,9.0,110000.0,0
45.0,3,2,16.0,150000.0,1
32.0,1,7,4.0,60000.0,0
37.0,1,6,8.0,90000.0,1
47.0,2,27,20.0,180000.0,0
30.0,1,4,2.0,40000.0,1
38.0,1,7,9.0,120000.0,0
46.0,3,3,17.0,160000.0,1
34.0,1,6,5.0,70000.0,0
36.0,1,5,8.0,95000.0,1
49.0,2,9,21.0,180000.0,0
31.0,1,4,3.0,50000.0,1
47.0,2,27,19.0,170000.0,1
29.0,1,4,1.5,35000.0,0
35.0,1,3,9.0,100000.0,1
44.0,3,3,15.0,150000.0,0
33.0,1,4,4.0,60000.0,1
44.0,1,96,13.0,130000.0,1
32.0,1,3,4.0,65000.0,1
38.0,1,6,10.0,110000.0,0
49.0,3,9,21.0,180000.0,1
29.0,1,4,2.0,40000.0,0
35.0,1,4,7.0,90000.0,1
45.0,2,3,14.0,140000.0,0
33.0,1,6,4.0,60000.0,1
40.0,1,8,12.0,130000.0,0
44.0,3,14,16.0,160000.0,1
30.0,1,1,2.0,40000.0,0
37.0,1,4,9.0,100000.0,1
48.0,2,27,20.0,180000.0,0
31.0,1,3,3.0,55000.0,1
38.0,1,2,9.0,120000.0,0
33.0,1,7,5.0,70000.0,0
36.0,1,6,8.0,95000.0,1
42.0,1,7,12.0,120000.0,0
34.0,2,2,6.0,80000.0,0
30.0,1,15,2.0,40000.0,0
37.0,1,4,10.0,120000.0,1
45.0,2,8,16.0,160000.0,0
32.0,1,1,4.0,65000.0,1
39.0,1,7,12.0,130000.0,0
47.0,3,2,20.0,180000.0,1
29.0,1,3,2.0,40000.0,0
36.0,1,5,9.0,100000.0,1
43.0,3,14,15.0,150000.0,0
32.0,1,5,3.0,55000.0,1
48.0,2,27,21.0,180000.0,1
31.0,1,4,3.0,50000.0,0
40.0,1,6,12.0,130000.0,1
45.0,3,2,16.0,160000.0,0
33.0,1,3,4.0,60000.0,1
36.0,1,8,8.0,95000.0,0
47.0,2,9,19.0,170000.0,1
29.0,1,3,2.0,40000.0,0
34.0,1,2,7.0,90000.0,1
44.0,3,6,15.0,150000.0,0
33.0,1,4,5.0,70000.0,1
35.0,1,3,8.0,90000.0,0
43.0,2,27,18.0,170000.0,1
31.0,1,6,3.0,50000.0,0
41.0,1,5,14.0,150000.0,1
44.0,3,2,16.0,160000.0,0
45.0,2,2,19.0,180000.0,1
28.0,1,3,1.0,35000.0,0
36.0,1,4,8.0,110000.0,1
44.0,3,14,16.0,160000.0,0
31.0,1,5,3.0,55000.0,1
43.0,2,9,19.0,170000.0,1
31.0,2,80,6.0,160000.0,1
28.0,1,78,3.0,125000.0,0
26.0,2,53,2.0,120000.0,1
27.0,1,51,2.0,110000.0,0
30.0,3,80,5.0,180000.0,1
29.0,1,78,4.0,140000.0,0
32.0,1,53,7.0,170000.0,1
25.0,2,51,1.0,100000.0,0
33.0,3,80,8.0,190000.0,1
31.0,1,78,6.0,155000.0,0
28.0,2,53,3.0,130000.0,1
30.0,1,51,5.0,145000.0,0
27.0,3,80,2.0,115000.0,1
34.0,1,53,9.0,185000.0,1
28.0,1,78,3.0,125000.0,1
26.0,2,53,2.0,120000.0,0
27.0,1,51,2.0,110000.0,1
30.0,3,80,5.0,180000.0,0
29.0,1,78,4.0,140000.0,1
26.0,1,51,3.0,130000.0,1
29.0,2,80,6.0,180000.0,0
32.0,1,78,8.0,190000.0,1
27.0,1,53,4.0,150000.0,0
24.0,1,51,1.0,90000.0,1
31.0,2,80,9.0,195000.0,0
28.0,1,78,5.0,160000.0,1
33.0,2,53,11.0,198000.0,0
25.0,1,51,2.0,110000.0,1
30.0,3,80,7.0,185000.0,0
27.0,1,78,4.0,140000.0,1
34.0,2,53,12.0,196000.0,0
23.0,1,51,1.0,95000.0,1
32.0,3,80,10.0,193000.0,0
29.0,1,78,6.0,175000.0,1
30.0,1,53,5.0,160000.0,0
31.0,2,80,6.0,180000.0,0
31.0,1,51,9.0,195000.0,1
28.0,1,78,5.0,160000.0,0
33.0,2,53,11.0,198000.0,1
26.0,1,51,3.0,130000.0,0
30.0,3,80,7.0,185000.0,1
27.0,1,78,4.0,140000.0,0
34.0,2,53,12.0,196000.0,1
25.0,1,51,2.0,110000.0,0
30.0,1,51,5.0,160000.0,1
31.0,3,80,9.0,195000.0,0
25.0,1,51,2.0,125000.0,1
28.0,2,80,6.0,175000.0,0
30.0,1,78,8.0,190000.0,1
24.0,1,51,1.0,95000.0,1
31.0,2,80,9.0,195000.0,1
23.0,1,51,1.0,90000.0,1
29.0,1,78,6.0,170000.0,1
26.0,1,51,3.0,135000.0,1
25.0,1,51,2.0,115000.0,1
27.0,2,80,4.0,150000.0,0
24.0,1,53,3.0,125000.0,0
31.0,2,80,7.0,180000.0,1
33.0,2,53,10.0,195000.0,0
30.0,3,80,6.0,170000.0,0
34.0,2,53,11.0,196000.0,0
23.0,1,51,1.0,92000.0,1
32.0,3,80,9.0,195000.0,0
28.0,1,78,5.0,165000.0,1
25.0,1,51,3.0,135000.0,1
33.0,2,53,11.0,196000.0,0
24.0,1,51,1.0,92000.0,1
32.0,1,51,5.0,135000.0,1
27.0,2,80,3.0,180000.0,0
40.0,1,78,12.0,195000.0,1
35.0,1,53,8.0,165000.0,0
43.0,2,80,15.0,198000.0,1
29.0,1,78,4.0,150000.0,0
36.0,1,51,9.0,162000.0,1
31.0,2,80,6.0,175000.0,1
42.0,1,78,13.0,197000.0,0
33.0,1,51,7.0,142000.0,1
29.0,2,80,4.0,182000.0,0
41.0,1,78,11.0,185000.0,1
35.0,1,53,8.0,170000.0,0
27.0,1,78,4.0,160000.0,1
32.0,1,80,8.0,180000.0,1
29.0,2,51,6.0,150000.0,0
30.0,1,51,5.0,140000.0,1
24.0,1,51,2.0,100000.0,1
33.0,2,53,11.0,190000.0,0
26.0,1,51,3.0,120000.0,1
30.0,3,80,7.0,170000.0,0
31.0,1,51,9.0,190000.0,1
28.0,1,78,5.0,150000.0,0
26.0,1,51,3.0,120000.0,0
30.0,3,80,7.0,170000.0,1
27.0,1,53,4.0,130000.0,0
24.0,1,51,2.0,95000.0,1
33.0,2,53,11.0,195000.0,1
25.0,1,51,2.0,100000.0,1
28.0,1,78,5.0,150000.0,1
29.0,2,80,6.0,150000.0,0
33.0,2,53,11.0,195000.0,0
31.0,2,80,6.0,170000.0,0
32.0,1,78,8.0,180000.0,1
34.0,2,53,12.0,190000.0,0
25.0,1,51,2.0,100000.0,0
29.0,1,78,7.0,180000.0,1
27.0,1,51,5.0,120000.0,0
33.0,2,80,10.0,195000.0,1
28.0,1,78,4.0,160000.0,1
26.0,1,51,3.0,100000.0,0
31.0,1,53,8.0,190000.0,1
30.0,2,78,6.0,170000.0,1
32.0,1,80,9.0,185000.0,0
29.0,1,51,7.0,130000.0,1
35.0,1,53,12.0,190000.0,0
27.0,1,78,5.0,150000.0,1
28.0,2,80,6.0,150000.0,0
37.0,3,53,14.0,195000.0,1
26.0,1,51,3.0,110000.0,1
30.0,1,78,8.0,180000.0,0
31.0,2,80,9.0,185000.0,1
29.0,1,51,7.0,130000.0,0
32.0,1,78,10.0,190000.0,1
28.0,2,80,6.0,155000.0,0
34.0,1,78,12.0,195000.0,1
25.0,1,51,2.0,90000.0,0
30.0,1,53,8.0,185000.0,1
29.0,1,51,6.0,120000.0,0
31.0,1,78,9.0,180000.0,1
27.0,1,51,5.0,125000.0,0
28.0,1,96,7.0,175000.0,1
44.0,3,127,18.0,190000.0,1
33.0,2,81,5.0,110000.0,0
50.0,3,95,16.0,195000.0,1
27.0,2,122,3.0,100000.0,0
25.0,1,71,1.0,60000.0,1
35.0,2,96,8.0,155000.0,1
47.0,3,122,12.0,175000.0,0
46.0,2,95,13.0,180000.0,0
32.0,1,81,4.0,95000.0,1
61.0,3,127,20.0,200000.0,1
41.0,2,96,11.0,165000.0,1
37.0,2,95,9.0,145000.0,1
53.0,3,127,19.0,195000.0,1
30.0,1,71,2.0,75000.0,0
26.0,2,81,3.0,90000.0,0
37.0,2,96,9.0,155000.0,0
32.0,1,122,5.0,115000.0,1
44.0,2,96,12.0,170000.0,0
50.0,3,127,16.0,190000.0,0
27.0,1,95,4.0,115000.0,1
42.0,3,122,14.0,180000.0,1
57.0,3,127,18.0,195000.0,1
35.0,2,96,7.0,140000.0,1
62.0,3,127,19.0,200000.0,1
26.0,2,81,2.0,70000.0,0
42.0,2,95,11.0,170000.0,0
41.0,3,127,14.0,185000.0,0
36.0,2,122,8.0,140000.0,0
49.0,3,127,15.0,185000.0,1
49.0,3,95,15.0,185000.0,1
47.0,3,127,15.0,180000.0,1
47.0,3,96,14.0,175000.0,1
26.0,1,71,2.0,70000.0,1
24.0,1,81,1.0,60000.0,0
62.0,3,127,20.0,200000.0,1
42.0,3,96,14.0,170000.0,1
41.0,2,95,11.0,165000.0,0
23.0,1,122,1.0,55000.0,1
55.0,3,127,17.0,190000.0,1
33.0,1,71,5.0,105000.0,0
31.0,2,122,6.0,130000.0,1
50.0,3,127,16.0,185000.0,0
24.0,2,81,1.0,60000.0,0
56.0,3,127,17.0,195000.0,1
24.0,1,71,1.0,60000.0,1
37.0,2,96,8.0,150000.0,1
43.0,3,95,13.0,180000.0,0
34.0,2,81,6.0,125000.0,1
45.0,3,127,15.0,185000.0,1
29.0,1,122,3.0,90000.0,1
29.0,1,71,3.0,80000.0,1
29.0,1,81,3.0,85000.0,0
48.0,3,95,16.0,190000.0,1
43.0,2,127,11.0,160000.0,0
54.0,3,127,17.0,195000.0,1
60.0,3,127,18.0,195000.0,1
54.0,3,127,14.0,190000.0,0
27.0,2,122,3.0,95000.0,0
23.0,1,81,1.0,55000.0,1
45.0,3,96,13.0,185000.0,1
32.0,2,122,5.0,120000.0,0
57.0,3,127,16.0,195000.0,1
47.0,3,127,14.0,175000.0,1
25.0,2,81,2.0,75000.0,0
58.0,3,127,17.0,200000.0,1
41.0,2,96,12.0,160000.0,0
41.0,3,127,12.0,175000.0,1
47.0,3,96,15.0,180000.0,1
32.0,1,122,5.0,120000.0,1
45.0,3,95,14.0,185000.0,1
53.0,3,127,18.0,195000.0,1
47.0,3,96,14.0,170000.0,0
23.0,1,71,1.0,55000.0,1
33.0,2,81,6.0,130000.0,1
42.0,3,127,14.0,180000.0,1
37.0,2,96,9.0,145000.0,1
44.0,2,95,12.0,170000.0,0
38.0,2,81,10.0,155000.0,0
34.0,2,122,6.0,125000.0,1
46.0,3,127,14.0,180000.0,0
30.0,1,81,4.0,95000.0,1
44.0,2,96,11.0,170000.0,0
42.0,3,95,14.0,175000.0,1
27.0,1,71,3.0,80000.0,1
54.0,3,127,18.0,195000.0,1
38.0,2,96,10.0,155000.0,1
31.0,2,95,6.0,125000.0,1
28.0,2,122,4.0,110000.0,0
30.0,2,81,6.0,130000.0,0
54.0,3,127,16.0,190000.0,1
37.0,2,96,9.0,150000.0,1
31.0,2,96,7.0,140000.0,1
58.0,3,127,17.0,195000.0,0
23.0,1,81,1.0,55000.0,0
52.0,3,127,16.0,190000.0,0
32.0,2,122,6.0,130000.0,0
32.0,2,81,6.0,130000.0,1
34.0,2,122,7.0,140000.0,1
28.0,1,71,2.0,70000.0,1
44.0,2,95,11.0,170000.0,1
46.0,3,127,14.0,180000.0,1
27.0,2,81,2.0,70000.0,0
23.0,1,71,1.0,55000.0,0
43.0,3,127,13.0,180000.0,1
28.0,1,71,2.0,70000.0,0
43.0,2,95,12.0,165000.0,1
43.0,3,95,13.0,185000.0,1
36.0,2,96,7.0,140000.0,1
28.0,1,71,3.0,80000.0,0
28.0,2,81,3.0,90000.0,0
43.0,3,96,12.0,170000.0,1
44.0,3,95,12.0,170000.0,1
37.0,2,96,10.0,155000.0,1
56.0,3,127,18.0,195000.0,1
27.0,1,71,2.0,70000.0,1
31.0,2,122,7.0,140000.0,1
50.0,3,127,16.0,190000.0,1
33.0,2,122,6.0,130000.0,1
41.0,3,95,12.0,165000.0,1
24.0,1,71,1.0,55000.0,0
43.0,3,95,12.0,165000.0,1
58.0,3,127,17.0,195000.0,1
29.0,1,71,3.0,85000.0,0
52.0,3,127,18.0,200000.0,1
36.0,2,122,8.0,140000.0,1
26.0,1,81,2.0,65000.0,1
47.0,3,95,16.0,190000.0,1
32.0,2,122,6.0,120000.0,1
57.0,3,127,18.0,200000.0,1
51.0,3,127,16.0,190000.0,1
27.0,2,81,2.0,65000.0,0
36.0,2,122,7.0,130000.0,1
33.0,2,122,5.0,120000.0,0
25.0,1,71,1.0,55000.0,1
40.0,3,96,12.0,160000.0,1
36.0,2,96,8.0,140000.0,1
31.0,2,95,7.0,135000.0,1
24.0,1,81,1.0,55000.0,1
34.0,1,71,5.0,95000.0,1
43.0,2,96,12.0,170000.0,0
27.0,1,81,2.0,75000.0,1
56.0,3,127,18.0,210000.0,0
32.0,2,122,7.0,135000.0,1
46.0,3,95,16.0,190000.0,1
41.0,3,95,11.0,165000.0,0
34.0,1,81,6.0,120000.0,1
40.0,3,96,12.0,160000.0,0
24.0,1,71,1.0,55000.0,1
36.0,1,71,7.0,120000.0,1
29.0,2,81,3.0,90000.0,0
41.0,3,127,14.0,180000.0,0
33.0,1,122,7.0,130000.0,1
42.0,3,96,12.0,170000.0,1
28.0,1,81,2.0,70000.0,1
55.0,3,127,18.0,210000.0,1
26.0,2,71,1.0,55000.0,0
44.0,3,127,11.0,165000.0,0
30.0,2,122,5.0,105000.0,1
39.0,2,96,11.0,160000.0,0
32.0,1,71,6.0,110000.0,1
50.0,3,127,17.0,195000.0,1
27.0,1,81,3.0,85000.0,1
46.0,3,95,14.0,180000.0,1
25.0,1,71,1.0,55000.0,0
35.0,1,81,8.0,140000.0,1
35.0,1,122,8.0,145000.0,1
41.0,3,95,13.0,185000.0,1
33.0,1,71,6.0,110000.0,1
31.0,1,71,6.0,115000.0,1
42.0,2,127,13.0,170000.0,0
27.0,1,81,3.0,80000.0,0
51.0,3,95,19.0,200000.0,1
34.0,2,122,7.0,130000.0,0
38.0,1,127,11.0,155000.0,1
29.0,1,71,5.0,105000.0,1
43.0,3,95,14.0,190000.0,0
36.0,2,81,8.0,140000.0,1
48.0,3,127,16.0,185000.0,1
35.0,1,122,8.0,145000.0,0
30.0,2,71,4.0,90000.0,0
50.0,3,95,18.0,195000.0,1
29.0,1,81,4.0,95000.0,1
41.0,2,127,13.0,170000.0,1
33.0,1,122,6.0,115000.0,0
45.0,3,95,16.0,185000.0,1
28.0,1,71,2.0,65000.0,0
39.0,2,127,12.0,160000.0,0
30.0,1,81,5.0,100000.0,1
46.0,3,95,15.0,180000.0,1
42.0,3,127,14.0,190000.0,1
31.0,1,122,6.0,115000.0,1
49.0,3,95,17.0,195000.0,0
36.0,2,81,9.0,150000.0,1
45.0,3,127,16.0,185000.0,1
25.0,1,71,1.0,550.0,0
29.0,1,71,4.0,90000.0,1
40.0,2,127,12.0,160000.0,0
33.0,2,122,6.0,115000.0,0
37.0,1,127,10.0,150000.0,1
28.0,1,71,2.0,65000.0,1
44.0,3,95,14.0,190000.0,0
35.0,2,81,8.0,140000.0,1
47.0,3,127,16.0,185000.0,1
34.0,1,122,7.0,130000.0,0
31.0,2,71,5.0,105000.0,0
42.0,2,127,13.0,170000.0,1
29.0,1,71,4.0,90000.0,0
27.0,1,81,3.0,80000.0,1
49.0,3,95,17.0,195000.0,1
32.0,2,122,6.0,115000.0,0
36.0,1,127,8.0,135000.0,1
27.0,1,71,2.0,65000.0,1
34.0,2,81,8.0,140000.0,1
46.0,3,127,16.0,185000.0,1
33.0,1,122,7.0,130000.0,0
30.0,2,71,5.0,105000.0,0
50.0,3,95,19.0,200000.0,1
31.0,1,71,6.0,110000.0,0
37.0,2,127,10.0,150000.0,1
31.0,2,127,8.0,130000.0,1
43.0,3,95,15.0,180000.0,1
35.0,2,122,8.0,140000.0,0
42.0,1,127,12.0,160000.0,1
28.0,1,71,2.0,55000.0,0
44.0,3,95,16.0,190000.0,0
32.0,2,81,7.0,120000.0,1
48.0,3,127,18.0,200000.0,1
30.0,1,122,5.0,100000.0,0
34.0,2,71,9.0,150000.0,1
37.0,1,127,11.0,170000.0,0
49.0,3,95,19.0,210000.0,0
29.0,1,122,4.0,90000.0,1
41.0,2,127,14.0,180000.0,1
46.0,3,95,16.0,185000.0,0
30.0,2,71,5.0,105000.0,1
50.0,3,127,20.0,210000.0,1
31.0,1,81,6.0,95000.0,1
39.0,2,127,11.0,170000.0,0
48.0,3,127,19.0,200000.0,1
28.0,1,78,4.0,75000.0,1
33.0,2,51,7.0,95000.0,0
22.0,1,4,1.0,50000.0,1
44.0,3,14,15.0,180000.0,1
29.0,1,22,3.0,65000.0,0
31.0,2,53,6.0,120000.0,1
25.0,2,78,2.0,60000.0,0
38.0,1,80,10.0,150000.0,1
27.0,1,78,3.0,70000.0,1
46.0,3,7,20.0,220000.0,0
33.0,2,51,8.0,100000.0,1
24.0,1,22,2.0,55000.0,0
36.0,3,14,12.0,170000.0,1
30.0,1,78,5.0,90000.0,0
29.0,1,4,4.0,80000.0,1
42.0,2,53,14.0,180000.0,1
26.0,1,22,2.0,60000.0,1
35.0,2,51,9.0,120000.0,0
27.0,1,78,3.0,70000.0,0
48.0,3,7,18.0,210000.0,1
34.0,2,80,9.0,140000.0,1
23.0,1,78,1.0,50000.0,0
32.0,2,53,7.0,110000.0,1
37.0,1,51,11.0,160000.0,1
41.0,3,7,16.0,200000.0,0
34.0,2,51,8.0,100000.0,1
34.0,1,122,8.0,122485.0,0
25.0,3,127,12.0,169159.0,1
43.0,2,96,21.0,187081.0,1
53.0,0,95,31.0,166109.0,2
27.0,2,71,5.0,78354.0,0
25.0,1,81,2.0,90249.0,1
29.0,2,96,6.0,132720.0,0
52.0,3,127,23.0,161568.0,1
41.0,2,71,13.0,127346.0,1
49.0,1,81,19.0,120177.0,0
25.0,0,122,2.0,69032.0,2
35.0,2,95,8.0,101332.0,1
57.0,3,122,30.0,121450.0,0
35.0,1,95,12.0,166375.0,0
43.0,2,96,21.0,185119.0,1
37.0,1,122,10.0,149217.0,0
